,roc_auc_stan,roc_auc_MLS,stan_time,MLS_time
68b15e7a-e604-4955-97e4-029d1ce69b81,,,,
44312b0a-7a8e-4602-bdf0-6f8c25df8a2c,,,,
a5d5d971-df0f-4065-b059-ad621fc6d982,,,,
8f310d99-380e-4133-86a1-d613d1493ba2,,,,
a2f9c9e2-a118-4687-86d1-6e78ea111faa,,,,
4d929a73-b47a-484b-8d9d-e0d9c2adb402,,,,
3c1b5924-4bbb-4de7-8217-3107dbfdb49a,,,,
9eed1950-6cfc-41c5-be0a-792c2f7686bb,,,,
9e459319-ba3b-455c-ac22-e2376a055625,,,,
f58e70d9-38e5-423f-9acd-4b2342322ed9,,,,
719b767f-fb93-4f7e-a7b2-4a947c4507e4,,,,
7ae8ed51-f4f9-40e4-9c3f-8b346e737541,,,,
88817923-33c9-462d-8fb8-ae4d0c8ea107,,,,
d09e4589-316c-43bd-815f-f1aa8f892662,,,,
5dc013ed-c355-475e-8c73-68da9ffc6e5d,,,,
a7683baa-bc71-4448-954c-48fbd21180d2,,,,
d978932b-f9de-4a4f-b5b5-d9d8de6b0d42,,,,
cc49a0d0-fe4e-4460-bcfe-85d5b9b0c180,,,,
64a54a32-3f0f-4ae4-aebb-d66c7509844d,,,,
809e89cc-319b-4a2c-874b-1b7c95c3a1be,,,,
93b4f00c-e96d-48eb-ab84-c65d5aa543d1,,,,
cbb80fc8-c650-4112-ac6f-44c6e1ac144e,,,,
c5b5888b-b225-49c3-941c-a360152f604c,,,,
1c8c5f37-0e29-418d-ba23-4cc7a63dc741,,,,
5d46cbff-ff65-4286-bceb-6de9746d76ef,,,,
0019aee7-20a0-4f83-a32b-fe7c1441d8e9,,,,
58792b64-a5b6-4172-8b0e-885f3db8908e,,,,
e391079a-4a99-41bd-a17b-1feed65bb00e,,,,
c8fef977-8287-409c-a633-c0048cdb7bdf,,,,
e71ded6e-0877-4e51-9a88-405629aba5f3,,,,
32dc81a4-25a4-4cfb-80fd-1c032e7d2641,,,,
b7c34de6-8f27-49e0-845c-97be1e562116,,,,
e19ac56e-4584-43ab-b571-039743da0917,,,,
a9861c38-d068-45b4-9923-6e83475725dd,,,,
ef875f4d-a346-4a48-9b12-37583658dcbe,,,,
88c73371-a3cf-42a6-8291-af0344884267,,,,
e559e56e-ee77-4661-b191-e4790598124f,,,,
6f4e8c1a-ce7a-4192-9651-a0b135049740,,,,
4c33a79c-2ea7-480b-a829-c2150f83a73e,,,,
95a5db3b-40ab-4968-b4f3-f6f0b15c2035,,,,
fa435e5a-3207-4e45-b042-0966f6962ab7,,,,
d05330b2-4110-4127-bee0-9d8e42ee9c77,,,,
93cbc49e-a689-4124-bc8d-d653a72eb0f0,,,,
086167fd-42d1-46ad-859c-e325f63e2a12,,,,
fcbbcea5-7f48-45e0-a2da-72d72998ae1a,,,,
db5defdd-8ef4-4add-b859-b01f981c81e8,,,,
b34e8d86-eb7b-491a-bb9f-187355d385e2,,,,
066b6d22-06e3-4d55-ba83-1f004f2afb88,,,,
93560e46-634c-456d-a5b3-8db9d9a82f08,,,,
1c891ab0-d4a0-4976-9192-fc0012ae7b93,,,,
8da37c25-9de1-48f4-a237-39f90a331870,,,,
